Part;Value;Device;Package;Description;ARROW_PART_NUMBER;ARROW_PRICE-STOCK;DESCRIPTION;HEIGHT;MANUFACTURER_NAME;MANUFACTURER_PART_NUMBER;MOUSER2_PART_NUMBER;MOUSER2_PRICE-STOCK;MOUSER_PART_NUMBER;MOUSER_PRICE-STOCK;POPULARITY;SPICEPREFIX
IC3;INA219BIDR;INA219BIDR;SOIC127P600X175-8N;26-V, Bidirectional, Zero-Drift, High-Side, I2C Out Current/Power Monitor;;;26-V, Bidirectional, Zero-Drift, High-Side, I2C Out Current/Power Monitor;1.75mm;Texas Instruments;INA219BIDR;;;595-INA219BIDR;https://www.mouser.co.uk/ProductDetail/Texas-Instruments/INA219BIDR?qs=1WmUhT%2FVMINyGsXNJcdD5Q%3D%3D;;
IC4;INA219BIDR;INA219BIDR;SOIC127P600X175-8N;26-V, Bidirectional, Zero-Drift, High-Side, I2C Out Current/Power Monitor;;;26-V, Bidirectional, Zero-Drift, High-Side, I2C Out Current/Power Monitor;1.75mm;Texas Instruments;INA219BIDR;;;595-INA219BIDR;https://www.mouser.co.uk/ProductDetail/Texas-Instruments/INA219BIDR?qs=1WmUhT%2FVMINyGsXNJcdD5Q%3D%3D;;
IC5;INA219BIDR;INA219BIDR;SOIC127P600X175-8N;26-V, Bidirectional, Zero-Drift, High-Side, I2C Out Current/Power Monitor;;;26-V, Bidirectional, Zero-Drift, High-Side, I2C Out Current/Power Monitor;1.75mm;Texas Instruments;INA219BIDR;;;595-INA219BIDR;https://www.mouser.co.uk/ProductDetail/Texas-Instruments/INA219BIDR?qs=1WmUhT%2FVMINyGsXNJcdD5Q%3D%3D;;
JST-XH1;I2C-BUS;JST-XH-05-PIN-LONG-PAD;JST-XH-05-PACKAGE-LONG-PAD;JST XH Connector 2 Pin;;;;;;;;;;;;
JST-XH2;I2C-BUS;JST-XH-05-PIN-LONG-PAD;JST-XH-05-PACKAGE-LONG-PAD;JST XH Connector 2 Pin;;;;;;;;;;;;
JST-XH3;BAT-BALANCE;JST-XH-04-PIN-LONG-PAD;JST-XH-04-PACKAGE-LONG-PAD;JST XH Connector 2 Pin;;;;;;;;;;;;
PWR-3V3;GN;LED5MM;LED5MM;LED;;;;;;;;;;;;
PWR-5V;GN;LED5MM;LED5MM;LED;;;;;;;;;;;;
R1;12m;R-EU_0204/7;0204/7;RESISTOR, European symbol;;;;;;;;;;;79;R
R2;tbd;R-EU_0204/7;0204/7;RESISTOR, European symbol;;;;;;;;;;;79;R
R3;tbd;R-EU_0204/7;0204/7;RESISTOR, European symbol;;;;;;;;;;;79;R
R4;10k;R-EU_0204/7;0204/7;RESISTOR, European symbol;;;;;;;;;;;79;R
R5;220;R-EU_0204/7;0204/7;RESISTOR, European symbol;;;;;;;;;;;79;R
R6;220;R-EU_0204/7;0204/7;RESISTOR, European symbol;;;;;;;;;;;79;R
R7;220;R-EU_0204/7;0204/7;RESISTOR, European symbol;;;;;;;;;;;79;R
RESET;;SWITCH_PUSHBUTTONEVQ-PE;TACT_PANA-EVQ;Buttons;;;;;;;;;;;;
STATUS;RD;LED5MM;LED5MM;LED;;;;;;;;;;;;
U$1;ATTINY84DIP;ATTINY84DIP;ATTINY84(DIP);;;;;;;;;;;;;
